Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Devriesia	0.17865943814687	0.117052735337605	0.184820108427797	0.0184820108427797	0	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0	12.16732380483	4.77451946771809	0.893297190734352	0.00616067028092657	1.98989650073928	5.76638738294726	3.97979300147856	2.99408575653031	3.1542631838344	2.07614588467225	0.942582552981764	0.683834401182849	6.25924100542139	2.33489403647117	6.45022178413011
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Hyweljonesia	0	0	0	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Teratosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0.252587481517989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Teratosphaeriaceae_gen_Incertae_sedis	0.0554460325283391	0.603745687530803	0.0246426811237063	0.665352390340069	0.0246426811237063	1.15820601281419	0	0	0	0	0	0	6.08058156727452	2.11927057663874	4.93469689502218	0.043124691966486	0.548299655002464	0.19714144898965	0.21562345983243	0.043124691966486	0.0246426811237063	1.79275505174963	0.00616067028092657	0.0123213405618531	0.338836865450961	0.0369640216855594	0.135534746180384
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|unassigned	0	0.00616067028092657	0.0308033514046328	0.00616067028092657	0	0	0	0	0	0	0	0	0.190980778708724	7.84869393790044	0.677673730901922	2.35337604731395	6.20379497289305	2.93247905372104	0.597585017249877	0.110892065056678	0.0369640216855594	0.221784130113356	0.0369640216855594	0.0246426811237063	0.0184820108427797	0.326515524889108	0.0616067028092656
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|unassigned|unassigned	0.141695416461311	0.098570724494825	0.184820108427797	0	0	0	0	0.0246426811237063	0.00616067028092657	0.0677673730901922	0	0.0246426811237063	0	0.0369640216855594	0.0554460325283391	0.0123213405618531	0	0.00616067028092657	0	0.00616067028092657	0	0	0	0	0.0492853622474125	0	0.0308033514046328
Fungi|Ascomycota|Dothideomycetes|Myriangiales|Elsinoaceae|Elsinoe	0.0862493839329719	0	0	0.043124691966486	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0
Fungi|Ascomycota|Dothideomycetes|Myriangiales|Myriangiaceae|Myriangium	0.0123213405618531	0	0.00616067028092657	0.0616067028092656	0	0.00616067028092657	0	0	0	0	0	0	0	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Acrocalymmaceae|Acrocalymma	0.00616067028092657	0.0308033514046328	0.0369640216855594	0.21562345983243	0.0369640216855594	0.221784130113356	0	0.0123213405618531	0.00616067028092657	0	0.00616067028092657	0	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0	0.00616067028092657	0	0.0123213405618531	0	0	0.00616067028092657	0.0554460325283391	0.00616067028092657	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Pleosporales|Amorosiaceae|Amorocoelophoma	0	0	0	0.0123213405618531	0	0.0677673730901922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
