	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
9747c411731985bd08d2e9dac03d6bda	4	819	10	4	11	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chaetophorales;f__Helicodictyaceae
2a4ab17e4e375a954700c19a7cef569b	0	0	0	0	9	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Leprocaulales;f__Leprocaulaceae;g__Leprocaulon;s__Leprocaulon_sp
f449955605ecb0b8ab77b40bc5cbc975	0	7	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae
e4969e00900cedb99f9066314d7d63aa	2	0	2	1	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
7d1b7ed1fa6e21caeb358b6f935282f8	23	70	29	802	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Diplosphaera;s__Diplosphaera_chodatii
8a4e46550291be6092362af6dbd0188d	0	6	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae
6c73c13a5f73ae175402696989b36d51	0	0	13	818	0	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida
74e1826d3746b6f2a80b5a2000dd8bee	0	604	0	0	0	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida
ad7bfb434e1c53f6eeac8a9c29457671	0	4	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolales_fam_Incertae_sedis;g__Elliptochloris;s__Elliptochloris_sp
cda8e063f61d8cf0c43e14d349f5f521	0	4	35	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_kiliense
b128bc13fd43450f7a0c87709b0fc36b	0	298	0	0	250	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
ae5429bb076aea9ba2e575d59785917b	0	0	0	0	9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_strelitziicola
24347eda49bd8294b780808c189c2147	3	5	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Shiraiaceae
dbda1f2624a033e4b4cfdad2b665bc20	0	0	15	606	3	k__Alveolata;p__Ciliophora
84de130456a9e58d5a83d76cbd34d9d9	0	0	0	371	175	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
24e09325e79f27c907f6c89469d091e4	4	2	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_phragmitis
53e97a47b2304da3756a79aa0fee6a42	0	3	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Verrucaria
98c87970fffc53985b022b74473fde31	3	0	0	0	0	k__Rhizaria;p__Cercozoa
d260739de934a6dc06bbc88a76d900e9	0	0	17	417	82	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
29c7e4f82d384c4a941c4f4eb7924a74	0	0	0	0	2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_strelitziicola
0f5eb0133bf084107b71c047b518b1ed	0	0	0	0	183	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Tricharina
6812d80edab26109a3705fc7650ad9ec	2	294	144	0	3	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__Chlorella;s__Chlorella_vulgaris
abb428c6c7af551060b4e448c4a9db05	13	0	0	37	26	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
b7be31f7bddd005973686096cfd2d6b6	0	0	0	0	373	k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__Bryales;f__Bryaceae;g__Bryum;s__Bryum_dichotomum
e62de55b20ea8ef2549960b13d0a4555	0	2	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Microthamniales;f__Microthamniales_fam_Incertae_sedis;g__Symbiochloris;s__Symbiochloris_sp
99608901ee51b62bd964675a7d31871a	0	112	0	55	204	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
93023a574dc34649261c8cb0fa2bab2d	2	335	0	0	0	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Acropisthiidae;g__Fuscheria;s__Fuscheria_sp
d619bf865bed2eca1274611e9b1caef2	0	6	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae
67d425e7c0e9603d01d625d7857baee7	0	0	6	20	12	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Magnusiomyces;s__Magnusiomyces_capitatus
29a80440ab2c646b79b87e3a3da12573	4	74	445	0	2	k__Heterolobosa;p__Heterolobosa_phy_Incertae_sedis;c__Heterolobosea;o__Schizopyrenida;f__Vahlkampfiidae;g__Allovahlkampfia;s__Allovahlkampfia_sp
c2ff20462a3dcaa8ea476dd889ddcd4b	4	0	0	0	0	k__Fungi;p__Ascomycota
b1aabc843ef92e63b4ba2e1316f87038	0	2	0	0	0	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Powellomycetaceae;g__Powellomyces;s__Powellomyces_sp
c42f3a9590ef461b998556a6be99afd4	2	317	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulotrichales
633f72def7eec2b958e639a88438a1b6	0	24	0	62	218	k__Fungi;p__Rozellomycota
47af45e7f160d1f5360e8851ae1b3839	48	0	19	0	232	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_microscopica
0c6cd1a8e5a7de02ef4b019d1010f5f2	0	0	8	0	0	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
e462722cb5bc4b112adfc8babf18e384	7	0	0	0	5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_kenpeggii
9bac4a9a85da47d498e8cb23d018d67b	0	0	3	0	0	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Powellomycetaceae;g__Powellomyces;s__Powellomyces_sp
c7e216fa8f61b48276f827a953555348	0	6	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Gliomastix
933ec94b89f7f6de4bc3d1d52b6dee24	0	1	0	0	0	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_sp
55b646aa6b6626a16b8316c69e2ee7cd	294	16	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulvophyceae_ord_Incertae_sedis;f__Ulvophyceae_fam_Incertae_sedis;g__Desmochloris;s__Desmochloris_sp
cc64c3b4dacfb7ec8b7ccfca2a397685	0	0	0	0	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces
93ffdb14c4fa5f382aee38d6f0f2947d	0	0	0	0	186	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Glycine
241786e429942c8ab2e0b8442f74571a	0	0	0	0	238	k__Eukaryota_kgd_Incertae_sedis
e53c8f2033584af0e88317220019bab6	0	4	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Chordomyces
648333a4729e6a398d71307554e86fcc	0	218	0	0	0	k__Eukaryota_kgd_Incertae_sedis
5251b2be20306ba5b84196e5080f01c6	0	9	25	0	3	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales
3d5503fc5c3e009def24de8b9d7f71c0	0	18	170	5	2	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Diutina;s__Diutina_rugosa
16bb9181fb8a099d94507837bdc3bce7	0	3	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Thyridariaceae
9fa704ce6e839b52abb96d7833e21766	2	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae
24f667ac154dce2ba976ff725419c860	0	0	0	242	0	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Ciliophora;s__Ciliophora_sp
42269086eb5db8e079f35f469b514572	0	6	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae
b45b2849f10c4bdffa5380019024bdc4	0	183	0	0	24	k__Eukaryota_kgd_Incertae_sedis
d4e2eeec1abdbb6d127f5ffa806e963e	0	1	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
578123e5fc39f5a8b34b3d144329f78e	0	0	6	0	0	k__Fungi
deec7f5fb66dedd89010634e1b965596	0	0	0	242	0	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida;f__Cyrtophorida_fam_Incertae_sedis
d2c7733ca7eaab1c51b5f4ceb51fd1dc	268	0	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Stichococcus;s__Stichococcus_bacillaris
26d4cd5bd7d046c8bc33f335fa128d09	0	0	3	2	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
aca4296e178a99cd090ba18133221f64	0	0	0	0	2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
e9bc3a0e09737dd2b2a79a75d539f91e	0	0	0	4	0	k__Viridiplantae;p__Chlorophyta
0073d97c26bbe77b01107b7f3934b9b1	0	0	0	0	161	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Chlorococcum;s__Chlorococcum_sp
21bc64be8734f477102cbe9aa493f50c	0	30	267	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__Chlorella;s__Chlorella_sp
0a836195339eaeaae05b5f39b8a11fe3	0	171	0	0	0	k__Stramenopila
dd4e16d962ffb8e1abece04d509d9c58	11	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Gliomastix
c309d9e74d2cce44cf9d5728c5a4dc43	0	170	0	0	0	k__Viridiplantae
2d45a93a3ca9a14900bd0f33a3a57201	0	123	1	0	19	k__Eukaryota_kgd_Incertae_sedis
a2e8d7304c8c52f540678c49632fc146	0	6	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Geosmithia;s__Geosmithia_sp
