Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Myxococcota|Myxococcia|Myxococcales|unknown|unknown	0	0	0	0	0.0215625673830231	0.0287500898440308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Myxococcota|Polyangia|Blfdi19|Blfdi19|Blfdi19	0	0	0	0.0359376123050385	0.00718752246100769	0.0215625673830231	0	0.0143750449220154	0	0	0	0.0575001796880615	0.0287500898440308	0.0143750449220154	0.0503126572270538	0	0	0.00718752246100769	0.0287500898440308	0.00718752246100769	0.00718752246100769	0.0143750449220154	0	0.0215625673830231	0.0143750449220154	0	0
Bacteria|Myxococcota|Polyangia|Haliangiales|Haliangiaceae|Haliangium	0.359376123050385	0.309063465823331	0.3737511679724	0.273125853518292	0.0646877021490692	0.0862502695320923	0.0934377919931	0.0431251347660461	0	0.0503126572270538	0.0215625673830231	0.0215625673830231	0.201250628908215	0.790627470710846	0.409688780277438	0	0.0934377919931	0.0646877021490692	0.510314094731546	0.309063465823331	0.999065622080069	0.934377919931	1.16437863868325	1.48781714942859	0.273125853518292	0.136562926759146	0.136562926759146
Bacteria|Myxococcota|Polyangia|mle1-27|mle1-27|mle1-27	0.0431251347660461	0.0215625673830231	0.0503126572270538	0.00718752246100769	0	0.0287500898440308	0	0	0	0	0	0	0.00718752246100769	0.0503126572270538	0	0	0	0.0143750449220154	0.0143750449220154	0.0431251347660461	0.0143750449220154	0.0503126572270538	0.208438151369223	0.237188241213254	0.0287500898440308	0	0.00718752246100769
Bacteria|Myxococcota|Polyangia|Nannocystales|Nannocystaceae|Nannocystis	0.3737511679724	0.258750808596277	0.194063106447208	0.158125494142169	0.0143750449220154	0.0215625673830231	0	0.00718752246100769	0	0	0.0143750449220154	0	0.00718752246100769	0.150937971681161	0.287500898440308	0	0.215625673830231	0.0862502695320923	0.129375404298138	0.122187881837131	0.330626033206354	0.388126212894415	0.251563286135269	0.100625314454108	0.876877740242938	0.0934377919931	0.0503126572270538
Bacteria|Myxococcota|Polyangia|Nannocystales|Nannocystaceae|uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215625673830231	0	0	0	0.00718752246100769	0	0.0287500898440308	0.00718752246100769	0	0	0	0.00718752246100769	0
Bacteria|Myxococcota|Polyangia|Polyangiales|BIrii41|BIrii41	0.0718752246100769	0.0359376123050385	0.0431251347660461	0	0	0.0143750449220154	0	0	0	0	0	0	0.115000359376123	0.337813555667361	0.222813196291238	0	0.0718752246100769	0.0862502695320923	0.0790627470710846	0	0.0575001796880615	0.273125853518292	0.208438151369223	0.129375404298138	0.00718752246100769	0.0287500898440308	0.0143750449220154
Bacteria|Myxococcota|Polyangia|Polyangiales|Phaselicystidaceae|Phaselicystis	0.136562926759146	0.136562926759146	0.150937971681161	0.682814633795731	0	0.0575001796880615	0	0	0	0.00718752246100769	0	0.0143750449220154	0.0287500898440308	0.107812836915115	0.0215625673830231	0	0.00718752246100769	0	0.129375404298138	0.0503126572270538	0.0934377919931	0.115000359376123	0.143750449220154	0.165313016603177	0.100625314454108	0.0431251347660461	0.129375404298138
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Jahnella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143750449220154	0.0575001796880615	0.00718752246100769	0	0	0
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Minicystis	0	0	0	0	0	0	0	0	0	0	0.0790627470710846	0	0	0	0	0	0	0	0	0	0	0.165313016603177	0	0	0	0	0
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Pajaroellobacter	0.165313016603177	0.143750449220154	0.129375404298138	0.179688061525192	0.00718752246100769	0.194063106447208	0.0287500898440308	0.0143750449220154	0	0.0215625673830231	0	0.0646877021490692	0.0359376123050385	0.251563286135269	0.251563286135269	0.0215625673830231	0.0718752246100769	0.0215625673830231	0.100625314454108	0.0503126572270538	0.172500539064185	0.136562926759146	0.158125494142169	0.165313016603177	0.100625314454108	0.107812836915115	0.0718752246100769
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Polyangium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00718752246100769	0	0.0287500898440308	0	0	0
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|Sorangium	0.158125494142169	0.100625314454108	0.0646877021490692	0	0	0	0	0	0.00718752246100769	0	0.00718752246100769	0	0	0.143750449220154	0.115000359376123	0	0.0215625673830231	0.0790627470710846	0.00718752246100769	0.0575001796880615	0.0790627470710846	0.208438151369223	0.395313735355423	0.481564004887515	0.0503126572270538	0.0575001796880615	0
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|uncultured	0.0718752246100769	0.0287500898440308	0.0287500898440308	0.00718752246100769	0.00718752246100769	0.0646877021490692	0.0143750449220154	0	0	0	0.0287500898440308	0	0.0718752246100769	1.99094372169913	0.0862502695320923	0	0	0.107812836915115	0.0215625673830231	0.352188600589377	0.100625314454108	0.761877380866815	0.754689858405807	0.553439229497592	0	0.0215625673830231	0
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|unknown	0.0215625673830231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215625673830231	0	0	0.00718752246100769	0	0	0.00718752246100769
Bacteria|Myxococcota|Polyangia|Polyangiales|Sandaracinaceae|Sandaracinus	0.0143750449220154	0.0143750449220154	0.0143750449220154	0.237188241213254	0.0790627470710846	0.301875943362323	0	0	0	0	0	0	0.00718752246100769	0	0	0	0	0	0	0	0	0	0	0	0	0.00718752246100769	0
