all_VFG_ID,all_VF_category
VFG038044,Immune_modulation
VFG038045,Immune_modulation
VFG038046,Immune_modulation
VFG038047,Immune_modulation
VFG038048,Immune_modulation
VFG038050,Immune_modulation
VFG038051,Immune_modulation
VFG038052,Immune_modulation
VFG038055,Immune_modulation
VFG038056,Immune_modulation
VFG038057,Immune_modulation
VFG038058,Immune_modulation
VFG038060,Immune_modulation
VFG038061,Immune_modulation
VFG038062,Immune_modulation
VFG038063,Immune_modulation
VFG038065,Immune_modulation
VFG038071,Immune_modulation
VFG038072,Immune_modulation
VFG038073,Immune_modulation
VFG038075,Immune_modulation
VFG038076,Immune_modulation
VFG038078,Immune_modulation
VFG038080,Immune_modulation
VFG038084,Immune_modulation
VFG038086,Immune_modulation
VFG038087,Immune_modulation
VFG038088,Immune_modulation
VFG038090,Immune_modulation
VFG038091,Immune_modulation
VFG038092,Immune_modulation
VFG038094,Immune_modulation
VFG038099,Immune_modulation
VFG038100,Immune_modulation
VFG038101,Immune_modulation
VFG038102,Immune_modulation
VFG038103,Immune_modulation
VFG038104,Immune_modulation
VFG038105,Immune_modulation
VFG038106,Immune_modulation
VFG038108,Immune_modulation
VFG038110,Immune_modulation
VFG038114,Immune_modulation
VFG038115,Immune_modulation
VFG038116,Immune_modulation
VFG038117,Immune_modulation
VFG038119,Immune_modulation
VFG038121,Immune_modulation
VFG038126,Immune_modulation
VFG038127,Immune_modulation
VFG038128,Immune_modulation
VFG038129,Immune_modulation
VFG038132,Immune_modulation
VFG038133,Immune_modulation
VFG038134,Immune_modulation
VFG038139,Immune_modulation
VFG038140,Immune_modulation
VFG038141,Immune_modulation
VFG038142,Immune_modulation
VFG038143,Immune_modulation
VFG038144,Immune_modulation
VFG038149,Immune_modulation
VFG038150,Immune_modulation
VFG038151,Immune_modulation
VFG038152,Immune_modulation
VFG038153,Immune_modulation
VFG038154,Immune_modulation
VFG038155,Immune_modulation
VFG038159,Immune_modulation
VFG038161,Immune_modulation
VFG038162,Immune_modulation
VFG038163,Immune_modulation
VFG038167,Immune_modulation
VFG038168,Immune_modulation
VFG038170,Immune_modulation
VFG038171,Immune_modulation
VFG038172,Immune_modulation
VFG038176,Immune_modulation
VFG038174,Immune_modulation
VFG038177,Immune_modulation
VFG038180,Immune_modulation
VFG038182,Immune_modulation
VFG038185,Immune_modulation
VFG038191,Biofilm
VFG038189,Biofilm
VFG038190,Biofilm
VFG038192,Biofilm
VFG038194,Biofilm
VFG038195,Biofilm
VFG038197,Biofilm
VFG038203,Biofilm
VFG038205,Biofilm
VFG038206,Biofilm
VFG038209,Biofilm
VFG038216,Regulation
VFG038220,Regulation
VFG038231,Regulation
VFG038232,Regulation
VFG038235,Regulation
VFG038237,Regulation
VFG038238,Regulation
VFG038240,Regulation
VFG038243,Regulation
VFG038249,Immune_modulation
VFG038247,Immune_modulation
VFG038248,Immune_modulation
VFG038250,Immune_modulation
VFG038255,Immune_modulation
VFG038258,Immune_modulation
VFG038259,Immune_modulation
VFG043765,Exotoxin
VFG043766,Exotoxin
VFG050302,Adherence
VFG050303,Adherence
VFG050304,Adherence
VFG050305,Adherence
VFG050306,Adherence
VFG050313,Adherence
VFG050314,Adherence
VFG050317,Adherence
VFG050321,Adherence
VFG050322,Adherence
VFG050323,Adherence
VFG050328,Adherence
VFG050326,Adherence
VFG050329,Adherence
VFG050332,Adherence
VFG050339,Adherence
VFG050342,Adherence
VFG050343,Adherence
VFG050353,Adherence
VFG050355,Adherence
VFG050358,Adherence
VFG050366,Adherence
VFG050367,Adherence
VFG050357,Adherence
VFG050372,Adherence
VFG050370,Adherence
VFG050373,Adherence
VFG050384,Adherence
VFG050386,Adherence
VFG050395,Adherence
VFG050400,Adherence
VFG050398,Adherence
VFG050401,Adherence
VFG050404,Adherence
VFG050413,Adherence
VFG050415,Adherence
VFG050416,Adherence
VFG050414,Adherence
VFG050418,Adherence
VFG050423,Adherence
VFG050426,Adherence
VFG050429,Adherence
VFG050432,Adherence
VFG050434,Adherence
VFG050437,Adherence
VFG050428,Adherence
VFG050440,Adherence
VFG050441,Adherence
VFG050443,Adherence
VFG050444,Adherence
VFG050446,Adherence
VFG050447,Adherence
VFG050449,Adherence
VFG050457,Adherence
VFG050455,Adherence
VFG050456,Adherence
VFG050458,Adherence
VFG050461,Adherence
VFG050463,Adherence
VFG050470,Adherence
VFG050471,Adherence
VFG050474,Adherence
VFG050485,Adherence
VFG050486,Adherence
VFG050488,Adherence
VFG050490,Adherence
VFG050493,Adherence
VFG050484,Adherence
VFG050496,Adherence
VFG050497,Adherence
VFG050499,Adherence
VFG050500,Adherence
VFG050502,Adherence
VFG050503,Adherence
VFG050505,Adherence
VFG050508,Adherence
VFG050511,Adherence
VFG050512,Adherence
VFG050514,Adherence
VFG050517,Adherence
VFG050519,Adherence
VFG050522,Adherence
VFG050524,Adherence
VFG050527,Adherence
VFG050526,Adherence
VFG050535,Adherence
VFG050537,Adherence
VFG050538,Adherence
VFG050540,Adherence
VFG050541,Adherence
VFG050544,Adherence
VFG050551,Adherence
VFG050554,Adherence
VFG050559,Adherence
VFG050564,Adherence
VFG050565,Adherence
VFG050567,Adherence
VFG050568,Adherence
VFG050570,Adherence
VFG050571,Adherence
VFG050572,Adherence
VFG050573,Adherence
VFG050576,Adherence
VFG050582,Adherence
VFG050583,Adherence
VFG050581,Adherence
VFG050585,Adherence
VFG050587,Adherence
VFG050590,Adherence
VFG050595,Adherence
VFG050593,Adherence
VFG050596,Adherence
VFG050599,Adherence
VFG050601,Adherence
VFG050604,Adherence
VFG050610,Adherence
VFG050608,Adherence
VFG050611,Adherence
VFG050614,Adherence
VFG050619,Adherence
VFG050620,Adherence
VFG050625,Adherence
VFG050626,Adherence
VFG050634,Adherence
VFG050640,Adherence
VFG050641,Adherence
VFG050655,Adherence
VFG050653,Adherence
VFG050656,Adherence
VFG050670,Adherence
VFG050671,Adherence
VFG050674,Adherence
VFG050679,Adherence
VFG050680,Adherence
VFG050682,Adherence
VFG050685,Adherence
