Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Taxonomy
ASV_1027	7	2	10	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	18	17	1	0	0	0	10	1	4	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae,g:Psychroglaciecola
ASV_1028	0	0	1	6	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Cyanobacteriales,f:uncultured,g:uncultured,s:uncultured_cyanobacterium
ASV_1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Cyanobacteriales,f:Coleofasciculaceae,g:uncultured,s:uncultured_Oscillatoriales
ASV_103	0	2	0	0	0	0	33	74	64	38	100	20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	d:Bacteria,p:Gemmatimonadota,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Roseisolibacter,s:uncultured_bacterium
ASV_1030	0	0	0	0	0	0	0	0	0	0	0	0	0	1	92	30	27	8	5	11	15	2	2	4	0	0	0	d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:uncultured_bacterium
ASV_1031	0	0	0	0	0	0	18	10	2	7	3	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Thermomicrobiales,f:JG30-KF-CM45,g:JG30-KF-CM45,s:uncultured_bacterium
ASV_1032	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	12	0	0	0	d:Bacteria,p:Myxococcota,c:Polyangia,o:Haliangiales,f:Haliangiaceae,g:Haliangium,s:uncultured_delta
ASV_1033	0	0	10	3	29	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:MN_122.2a,s:uncultured_bacterium
ASV_1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	8	9	0	0	0	d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:uncultured,s:uncultured_bacterium
ASV_1035	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	d:Bacteria,p:Gemmatimonadota,c:Longimicrobia,o:Longimicrobiales,f:Longimicrobiaceae,g:YC-ZSS-LKJ147,s:uncultured_bacterium
ASV_1036	0	0	0	0	0	0	12	8	1	9	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:alpha_proteobacterium
ASV_1037	0	0	0	0	0	0	1	8	6	10	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1038	0	0	1	0	0	0	0	0	0	0	0	0	0	9	5	0	3	1	1	3	2	6	14	18	0	4	1	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae
ASV_1039	0	1	0	0	0	0	0	0	0	0	0	0	0	19	126	5	10	12	6	12	15	2	2	4	2	0	1	d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:uncultured_bacterium
ASV_104	0	2	0	0	0	0	3	8	8	4	1	7	1	51	7	2	54	28	21	24	72	4	1	2	13	10	178	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:uncultured,s:uncultured_bacterium
ASV_1040	0	1	2	1	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	7	12	15	0	0	0	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_1041	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	67	3	14	15	0	1	0	11	5	1	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:uncultured_bacterium
ASV_1042	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	19	21	17	1	0	1	0	0	0	6	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Asanoa,s:Asanoa_siamensis
ASV_1043	0	0	0	0	0	0	8	3	1	1	4	6	0	0	0	0	0	0	0	0	0	9	10	1	1	0	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,s:uncultured_bacterium
ASV_1044	8	14	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	2	0	0	1	4	3	2	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Thermomicrobiales,f:JG30-KF-CM45,g:JG30-KF-CM45,s:uncultured_bacterium
ASV_1045	0	2	0	0	0	0	0	0	9	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:uncultured,g:uncultured,s:uncultured_bacterium
ASV_1046	0	1	0	8	19	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae,g:uncultured,s:uncultured_bacterium
ASV_1047	0	0	0	0	0	0	0	16	2	12	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,g:Marisediminicola,s:uncultured_bacterium
ASV_1048	20	15	34	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	8	2	0	0	1	1	2	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Thermosynechococcales,f:Thermosynechococcaceae,g:Loriellopsis_LF-B5,s:Loriellopsis_cavernicola
ASV_1049	2	2	4	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	11	11	4	0	0	0	15	0	12	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Dactylosporangium,s:uncultured_actinobacterium
ASV_105	7	12	3	0	0	0	5	2	1	7	1	2	137	12	23	1	22	40	75	15	28	74	81	54	4	33	10	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Asanoa,s:Asanoa_siamensis
ASV_1050	8	13	10	3	3	10	2	1	0	3	3	1	0	0	0	0	0	0	25	2	2	1	0	11	0	6	1	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Sporolactobacillaceae,g:Scopulibacillus,s:Bacillus_sp.
ASV_1051	3	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	11	24	0	7	1	5	0	0	d:Bacteria,p:Myxococcota,c:Polyangia,o:Haliangiales,f:Haliangiaceae,g:Haliangium,s:uncultured_Kofleria
ASV_1052	2	3	1	1	1	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Cyanobacteriales,f:Chroococcidiopsaceae,g:uncultured,s:uncultured_bacterium
ASV_1053	1	3	4	9	5	10	0	0	0	0	0	1	1	0	2	0	0	0	8	24	1	0	1	0	1	1	3	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Parviterribacter,s:uncultured_bacterium
